Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Channel Islands,CHI,Urban population,SP.URB.TOTL,42345,42433,42548,42682,42832,42989,43149,43304,43458,43606,43739,43825,43751,43639,43466,43214,42873,42464,42030,41626,41293,41158,41449,41800,42185,42591,43025,43363,43690,43964,44161,44226,44130,43991,43869,43793,43882,44221,44583,44928,45222,45467,45711,45950,46243,46629,47131,47734,48386,49025,49599,50053,50331,50586,50865,51207,51629,52141,52707,53283,53832,
Chile,CHL,Urban population,SP.URB.TOTL,5517094,5701392,5885932,6072574,6259547,6445189,6629133,6811422,6993125,7175375,7359558,7544831,7732140,7921009,8111314,8302888,8495996,8690708,8886413,9082123,9277423,9471544,9656547,9807273,9963497,10127420,10299549,10479082,10665400,10857443,11053906,11254773,11464829,11699242,11931322,12158301,12378986,12593725,12802519,13006347,13205621,13400180,13583643,13736098,13888984,14043844,14202581,14364745,14529331,14693851,14857028,15015966,15171199,15330440,15504113,15698029,15918735,16159784,16400007,16610132,16770077,
China,CHN,Urban population,SP.URB.TOTL,108085352,110327936,114685540,121162226,127791981,129348359,131746910,134196718,136747486,139527262,142386810,145443877,148131235,151552570,155688522,159452730,162497601,165293316,171153535,180399661,189947471,199949784,210823843,220472140,230206255,240414890,251325056,262976051,275121076,287504237,300165618,314301034,328521540,342961393,357836540,373035157,388593258,404485562,420606126,436766058,452999147,471767321,491993700,512473984,533257098,554367818,575118254,595670841,616481190,637407288,658498663,679390629,700996454,722694421,744357517,765822300,787376534,809246214,829760595,848982855,866705688,
Cote d'Ivoire,CIV,Urban population,SP.URB.TOTL,619394,686762,762070,845444,936710,1035577,1104961,1178121,1256474,1342103,1436896,1541816,1657139,1782421,1917251,2066655,2255484,2458079,2675498,2814125,2958714,3109358,3265836,3427158,3592182,3759991,3929852,4102327,4283457,4483196,4691841,4909852,5136246,5369837,5608866,5851721,6098786,6349436,6600867,6852482,7101009,7342527,7578948,7814052,8053836,8302480,8561993,8832387,9114825,9409746,9718242,10041392,10379711,10732982,11100530,11483937,11883014,12298404,12729902,13176905,13639151,
Cameroon,CMR,Urban population,SP.URB.TOTL,721507,765693,812941,863418,917276,974573,1035705,1100935,1170516,1244529,1323510,1443896,1574436,1715535,1868350,2033542,2197996,2324388,2458576,2600936,2752040,2911973,3081241,3260222,3449400,3648854,3859218,4071471,4265256,4465434,4671629,4883689,5101921,5325605,5555026,5789921,6030361,6276411,6529698,6792206,7065360,7349440,7645217,7953195,8274119,8607974,8955662,9317567,9693721,10083757,10487738,10905610,11337561,11783317,12242757,12715788,13202430,13702217,14215415,14741260,15279799,
Congo Dem. Rep.,COD,Urban population,SP.URB.TOTL,3400361,3522079,3649210,3782270,3922365,4070458,4227233,4392306,4564674,4742358,4924315,5109552,5299138,5494407,5698654,5913935,6141743,6381643,6630163,6882720,7135883,7389311,7645261,7907634,8182625,8520033,8876846,9253674,9660137,10107029,10602701,11155613,11762424,12400107,13037938,13652805,14233457,14788171,15338241,15915279,16544510,17234262,17981231,18783708,19635482,20534301,21483250,22487133,23545867,24661566,25833935,27065208,28355104,29704529,31115108,32586913,34121209,35717778,37376674,39095679,40874034,
Congo Rep.,COG,Urban population,SP.URB.TOTL,321778,337115,353329,370444,388517,407540,427609,448745,471025,494466,519200,545250,572661,601385,631990,664820,699040,734631,771738,810452,850865,892999,936914,982510,1029650,1072780,1111988,1152189,1193497,1236128,1280275,1326046,1373503,1422781,1474008,1527400,1583234,1642924,1705051,1769309,1835639,1903599,1973547,2046738,2124992,2209458,2301053,2399049,2501002,2603311,2703396,2800042,2894148,2987549,3083054,3182829,3287507,3396521,3509318,3625007,3742867,
Colombia,COL,Urban population,SP.URB.TOTL,7429583,7903180,8399973,8917948,9456005,9890673,10331431,10782082,11240398,11702014,12165234,12628086,13091727,13559135,14030528,14512942,15011680,15524762,16052405,16593238,17145846,17710015,18286700,18874694,19472124,20077483,20656601,21228793,21808614,22398270,22999996,23613613,24238651,24870588,25506164,26142216,26777679,27410870,28043541,28676309,29309133,29941978,30573545,31200435,31817836,32422511,33015425,33597407,34166609,34720224,35257425,35769913,36262053,36759801,37299404,37904385,38592067,39346013,40115208,40827302,41431388,
Comoros,COM,Urban population,SP.URB.TOTL,23988,25915,27981,30204,32610,35217,38066,39596,41214,42890,44608,46342,48121,50023,52170,54645,57513,60737,64233,67849,71463,75113,78777,82503,86384,90501,94872,99484,104335,109413,114708,120236,124106,127548,131038,134541,138071,141617,145173,148735,152294,155851,159409,162991,166645,170490,174541,178801,183274,187978,192929,198124,203573,209277,215196,221336,227692,234270,241082,248154,255487,
Cabo Verde,CPV,Urban population,SP.URB.TOTL,33653,34798,36195,37822,39656,41644,43824,46180,48554,50729,52542,53992,55108,55973,56832,57883,59186,60705,62450,64394,66755,72155,78078,84463,91205,98175,107284,116749,126721,137453,149105,155955,163555,171688,180051,188385,196596,204699,212741,220760,228797,236546,244272,251945,259570,267120,274601,282014,289440,296945,304557,310898,317397,324018,330712,337408,344094,350777,357427,364030,370577,
Costa Rica,CRI,Urban population,SP.URB.TOTL,455848,474148,493128,514437,542013,570091,598643,627676,657149,687010,717288,747906,778990,810060,837360,865925,895957,927374,960245,994492,1030054,1066955,1105307,1144972,1186697,1243702,1302633,1363498,1426488,1491822,1559812,1630405,1703472,1778651,1855766,1934473,2014762,2096262,2178261,2259648,2339858,2436984,2532442,2626685,2720493,2814376,2908608,3002810,3096961,3190512,3283623,3376037,3466591,3555161,3641667,3726120,3808499,3888685,3966558,4041885,4114567,
Caribbean small states,CSS,Urban population,SP.URB.TOTL,1467447,1517653,1569034,1621149,1673172,1724071,1774340,1823972,1873184,1922267,1971052,2017936,2070069,2127385,2185113,2243316,2301816,2360634,2420497,2482133,2544548,2592955,2643737,2687948,2730524,2770013,2805571,2837844,2868345,2899387,2932354,2966979,3002564,3039392,3075982,3111322,3145118,3177749,3209662,3241363,3272897,3300933,3326491,3351010,3375383,3398931,3422331,3445563,3468896,3492528,3516860,3543229,3572957,3603784,3635507,3667763,3700577,3733889,3767722,3802091,3836980,
Cuba,CUB,Urban population,SP.URB.TOTL,4170556,4271769,4380890,4494926,4609712,4722140,4830581,4935769,5039295,5143769,5250696,5407405,5577664,5747219,5911622,6066882,6211941,6347354,6474171,6593746,6708071,6815683,6899970,6979426,7065593,7162751,7274355,7398258,7528636,7656131,7774373,7863833,7926352,7981609,8034226,8087462,8141672,8200317,8263023,8323370,8380756,8435471,8487665,8528229,8554893,8573896,8584106,8586852,8586510,8588995,8598651,8617291,8643323,8668177,8690603,8708301,8720099,8728618,8734568,8739136,8743468,
Curacao,CUW,Urban population,SP.URB.TOTL,93258,94722,96940,99290,101532,103656,105249,106879,109059,111346,113545,116141,116907,116777,118424,119543,120253,120788,120361,120434,121052,121992,123658,124984,126083,127169,127569,126993,125566,124022,123122,122666,122964,124420,125783,127258,129273,130794,129469,125761,121481,117447,117440,119730,121652,124627,127696,130064,131527,132200,133691,135409,136353,137738,139450,141158,142535,142881,142040,140277,138059,
Cayman Islands,CYM,Urban population,SP.URB.TOTL,7870,8024,8141,8219,8299,8370,8444,8518,8638,8833,9143,9588,10135,10778,11488,12234,13023,13848,14681,15485,16207,16857,17436,18005,18662,19460,20426,21539,22775,24028,25307,26540,27784,29068,30521,32161,34065,36155,38330,40423,42305,43934,45347,46624,47899,49261,50729,52280,53835,55321,56672,57877,58963,59933,60848,61721,62564,63382,64172,64948,65720,
